"Code","Company","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)","alpha.rtns","Exp.Rtn","Exp.Rtn.SD","Rtn.SD","Sharpe","RP.Exp.Rtn","RP.Exp.Rtn.SE","RP.Rtn.SD","RP.Sharpe","Rep. Port. Superior?"
"KKC","KKR Credit Income Fund","573,500,000",-0.0122683493555014,0.610839800692688,0.641163515017385,0.166882951931086,"FALSE",-0.0571316146360545,0.0384070940606675,0.076814188121335,-0.743763828445468,-0.000127803575947795,0.0036376762927562,0.0277037172782114,-0.00461322842217679,"TRUE"
"LRT","Lowell Resources Fund","12,458,500",-0.0963627886969639,6.58910813251611,0.130223310350465,2.62520933463562e-05,"FALSE",-0.118287738057867,0.0995765177381724,0.487823317643441,-0.242480696964808,-0.00137861282235916,0.0392394903162502,0.298839055038306,-0.00461322842217676,"TRUE"
"LSF","L1 Long Short Fund Ltd","575,086,000",-0.0213357631840002,0.359208391885053,0.394577142502146,0.138533914598763,"FALSE",-0.0237859387825832,0.0243330209206386,0.116697068788627,-0.203826360246174,-7.51557395921272e-05,0.00213915964519268,0.0162913544950078,-0.00461322842217677,"TRUE"
"LSX","Lion Selection Group Ltd","55,549,900",0.0053215809434321,0.295403336594188,0.832853035200188,0.212098873465515,"FALSE",0.00443023676680768,0.0249388994434328,0.18992899967114,0.0233257521204165,-6.18060622782513e-05,0.00175918745489601,0.0133975725071702,-0.00461322842217673,"FALSE"
"MA1","Monash Absolute Investment Company Ltd","34,575,800",-0.0044836054008966,0.571099600073286,0.803481369032953,0.279944228596331,"FALSE",-0.00442569356597761,0.0181180382121168,0.12421101201914,-0.0356304444673202,-0.000119488892225019,0.0034010152475875,0.0259013604552099,-0.00461322842217674,"TRUE"
"MAX","Millinium's Alternatives Fund","5,997,230",-0.00182333834016504,-0.643511479711688,0.848839423836077,8.67952210633284e-07,"FALSE",-0.00602079783756931,0.00970740540569249,0.0726435702852372,-0.0828813591337604,0.000134639341079848,0.00383224284208253,0.0291854919718716,0.0046132284221767,"TRUE"
"MEC","Morphic Ethical Equities Fund Ltd","42,791,800",-0.00209995154991712,-0.512373291310483,0.95700702576116,0.0599698847500009,"FALSE",-0.0021874517908815,0.0383014876917393,0.223334132231541,-0.00979452522113218,0.000107201820797144,0.00305128803448633,0.0232379173512853,0.00461322842217676,"TRUE"
"MFF","MFF Capital Investments Ltd","1,448,440,000",0.00642471646827346,0.525970437172704,0.466931767292184,0.0183348886660305,"FALSE",0.00548513165651618,0.00924087748934966,0.0703764262579724,0.0779399004491908,-0.000110046697411117,0.00313226182679007,0.023854595380992,-0.00461322842217668,"FALSE"
"MGG","Magellan Global Trust","1,972,300,000",0.0054672917920724,0.318796179673554,0.4694347227044,3.86905808183497e-05,"FALSE",0.00379020141220836,0.00799102865346257,0.04303300627743,0.0880766123513021,-6.67004535633927e-05,0.00189849663316743,0.0144585196004497,-0.00461322842217665,"FALSE"
"MHH","Magellan High Conviction Trust","812,922,000",-0.0155962508845008,0.143817444971526,0.699149097540145,0.0789613927873815,"FALSE",-0.023464589153349,0.0294712046078568,0.0658996168819729,-0.356065638368951,-3.00903505799604e-05,0.000856462380913014,0.0065226231667415,-0.00461322842217675,"TRUE"
